metric,FIFO (base case),Priority queue
admission_rate,0.852248159873689,0.8246571723904401
rejection_rate,0.14775184012631115,0.17534282760955985
avg_waiting_time,5.479935262476659,2.719276669628461
avg_bed_utilization,0.9855339805825243,0.9820064724919094
peak_queue_length,5.0,5.0
pct_time_queue_full,0.0978733240869163,0.02723069810448451
pct_time_under_pressure,0.9277392510402219,0.8348127600554786
avg_length_of_stay,29.310971845273727,27.317691221502535
rejection_rate_low,0.10051866107680234,0.3672323114246284
rejection_rate_medium,0.16739754610803845,0.08839855823823774
rejection_rate_high,0.2643180893180893,0.03493746993746994
